Symbol	Name	Morningstar Category	NAV Return	NAV Return	Minimum Investment	Net Expense Ratio	No Transaction Fees	Morningstar Rating
AASCX	 Thrivent Mid Cap Stock A	 Mid-Cap Blend	 +7.09%	 +29.78%	" $2,000"	 1.09%	 NTF	5
ABUAX	 Columbia Capital Allocation Moderate A	 Allocation--30% to 50% Equity	 +7.47%	 +10.79%	" $2,000"	 1.08%	  	5
ACETX	 Invesco Equity and Income Y	 Allocation--50% to 70% Equity	 +4.28%	 +17.79%	" $1,000"	 0.55%	  	5
ACKDX	 American Century NT Emerging Mkts R6	 Diversified Emerging Mkts	 +22.94%	 +24.51%	 $0	 1.04%	  	5
AEDMX	 American Century Emerging Markets R6	 Diversified Emerging Mkts	 +22.58%	 +24.44%	 $0	 0.94%	  	5
AFMBX	 American Funds American Balanced F3	 Allocation--50% to 70% Equity	 +6.81%	 +10.58%	 $250	 0.29%	  	5
AIGRX	 AllianzGI Income & Growth R	 Allocation--30% to 50% Equity	 +6.35%	 +13.59%	 $0	 1.54%	  	5
AMBFX	 American Funds American Balanced F2	 Allocation--50% to 70% Equity	 +6.79%	 +10.63%	 $250	 0.39%	  	5
APINX	 AMG Managers Pictet International N	 Foreign Large Blend	 +18.17%	 +23.14%	" $2,000"	 1.26%	 NTF	5
AZMAX	 AllianzGI NFJ Emerging Markets Value A	 Diversified Emerging Mkts	 +20.62%	 +26.17%	" $1,000"	 1.14%	 NTF	5
BAEMX	 BMO LGM Emerging Markets Equity A	 Diversified Emerging Mkts	 +25.08%	 +16.04%	" $1,000"	 1.40%	 NTF	5
BALFX	 American Funds American Balanced F1	 Allocation--50% to 70% Equity	 +6.61%	 +10.30%	 $250	 0.66%	 NTF	5
BEEAX	 BlackRock Total Emerging Markets Inv A	 Diversified Emerging Mkts	 +11.81%	 +10.95%	" $1,000"	 1.18%	 NTF	5
BERIX	 Berwyn Income 	 Allocation--15% to 30% Equity	 +2.51%	 +6.59%	" $1,000"	 0.68%	  	5
BEXFX	 Baron Emerging Markets Retail	 Diversified Emerging Mkts	 +20.18%	 +18.21%	" $2,000"	 1.38%	 NTF	5
CBALX	 Columbia Balanced Z	 Allocation--50% to 70% Equity	 +7.34%	 +10.74%	" $2,000"	 0.75%	  	5
CBDRX	 Columbia Balanced R4	 Allocation--50% to 70% Equity	 +7.36%	 +10.72%	 $0	 0.75%	  	5
CBDTX	 Columbia Balanced T	 Allocation--50% to 70% Equity	 +7.21%	 +10.46%	" $2,000"	 1.00%	  	5
CBDYX	 Columbia Balanced Y	 Allocation--50% to 70% Equity	 +7.42%	 +10.89%	 $0	 0.66%	  	5
CBLAX	 Columbia Balanced A	 Allocation--50% to 70% Equity	 +7.22%	 +10.47%	" $2,000"	 1.00%	  	5
CBLBX	 Columbia Balanced B	 Allocation--50% to 70% Equity	 +6.83%	 +9.63%	" $2,000"	 1.75%	  	5
CBLCX	 Columbia Balanced C	 Allocation--50% to 70% Equity	 +6.85%	 +9.65%	" $2,000"	 1.75%	  	5
CBLRX	 Columbia Balanced R	 Allocation--50% to 70% Equity	 +7.09%	 +10.20%	 $0	 1.25%	  	5
CBMRX	 Columbia Capital Allocation Moderate R	 Allocation--30% to 50% Equity	 +7.36%	 +10.45%	 $0	 1.33%	  	5
CBMZX	 Columbia Capital Allocation Moderate Z	 Allocation--30% to 50% Equity	 +7.61%	 +10.98%	" $2,000"	 0.83%	  	5
CBRRX	 Columbia Capital Allocation Moderate K	 Allocation--30% to 50% Equity	 +7.50%	 +10.86%	 $0	 1.04%	  	5
CCCRX	 Columbia Contrarian Core R	 Large Blend	 +10.67%	 +17.22%	 $0	 1.31%	  	5
CCRFX	 Columbia Contrarian Core K	 Large Blend	 +10.80%	 +17.61%	 $0	 0.97%	  	5
CFNFX	 American Funds Fundamental Invs 529F1	 Large Blend	 +10.00%	 +19.24%	 $250	 0.48%	  	5
CIPRX	 Columbia Income Builder K	 Allocation--15% to 30% Equity	 +3.89%	 +8.01%	 $0	 0.99%	  	5
CKKRX	 Columbia Income Builder R5	 Allocation--15% to 30% Equity	 +4.07%	 +8.31%	 $0	 0.74%	  	5
CLBAX	 American Funds American Balanced 529A	 Allocation--50% to 70% Equity	 +6.62%	 +10.30%	 $250	 0.67%	  	5
CLBEX	 American Funds American Balanced 529E	 Allocation--50% to 70% Equity	 +6.50%	 +10.09%	 $250	 0.91%	  	5
CLBFX	 American Funds American Balanced 529F	 Allocation--50% to 70% Equity	 +6.74%	 +10.56%	 $250	 0.44%	  	5
CLCRX	 Columbia Select Large Cap Equity R5	 Large Blend	 +11.32%	 +20.29%	 $0	 0.87%	  	5
CLRFX	 Columbia Balanced K	 Allocation--50% to 70% Equity	 +7.25%	 +10.53%	 $0	 0.96%	  	5
CNMRX	 Columbia Income Builder R4	 Allocation--15% to 30% Equity	 +4.06%	 +8.27%	" $2,000"	 0.76%	  	5
CNRYX	 City National Rochdale Emerg Mkts Y	 Diversified Emerging Mkts	 +24.36%	 +23.83%	 $0	 1.38%	  	5
CNWAX	 American Funds New World 529A	 Diversified Emerging Mkts	 +17.13%	 +19.00%	 $250	 1.13%	  	5
CNWCX	 American Funds New World 529C	 Diversified Emerging Mkts	 +16.65%	 +18.07%	 $250	 1.92%	  	5
CNWEX	 American Funds New World 529E	 Diversified Emerging Mkts	 +17.01%	 +18.76%	 $250	 1.34%	  	5
CNWFX	 American Funds New World 529F	 Diversified Emerging Mkts	 +17.24%	 +19.23%	 $250	 0.93%	  	5
COFYX	 Columbia Contrarian Core Y	 Large Blend	 +10.99%	 +17.97%	 $0	 0.67%	  	5
CORRX	 Columbia Contrarian Core R4	 Large Blend	 +10.89%	 +17.78%	 $0	 0.81%	  	5
CPAMX	 Columbia Capital Allocation Moderate R5	 Allocation--30% to 50% Equity	 +7.62%	 +11.06%	 $0	 0.79%	  	5
CPANX	 Columbia Capital Allocation Agrsv R5	 Allocation--70% to 85% Equity	 +10.78%	 +16.65%	 $0	 0.92%	  	5
CPCZX	 Columbia Capital Allocation Moderate R4	 Allocation--30% to 50% Equity	 +7.59%	 +11.10%	" $2,000"	 0.83%	  	5
CPDAX	 Columbia Capital Allocation Agrsv R4	 Allocation--70% to 85% Equity	 +10.68%	 +16.58%	" $2,000"	 0.97%	  	5
CSCYX	 Calvert Small Cap Y	 Small Blend	 +4.44%	 +21.33%	" $2,000"	 1.05%	  	5
CTRWX	 Columbia Contrarian Core T	 Large Blend	 +10.78%	 +17.50%	" $2,000"	 1.06%	  	5
CVMAX	 Calvert Emerging Markets Equity A	 Diversified Emerging Mkts	 +24.17%	 +27.60%	" $2,000"	 1.27%	 NTF	5
CVMCX	 Calvert Emerging Markets Equity C	 Diversified Emerging Mkts	 +23.81%	 +26.74%	" $2,000"	 2.02%	  	5
CVMYX	 Calvert Emerging Markets Equity Y	 Diversified Emerging Mkts	 +24.37%	 +27.99%	" $2,000"	 1.02%	  	5
CXXRX	 Columbia Small Cap Index R5	 Small Blend	 +2.76%	 +22.32%	 $0	 0.20%	  	5
DEEAX	 Delaware Extended Duration Bond A	 Corporate Bond	 +6.81%	 +3.41%	" $1,000"	 0.96%	  	5
DEEIX	 Delaware Extended Duration Bond Inst	 Corporate Bond	 +6.78%	 +3.51%	 $0	 0.71%	  	5
DEZRX	 Delaware Extended Duration Bond R6	 Corporate Bond	 +6.99%	 +3.58%	 $0	 0.63%	  	5
DGEAX	 Dreyfus Global Emerging Markets A	 Diversified Emerging Mkts	 +26.00%	 +23.25%	" $1,000"	 1.25%	 NTF	5
DGIEX	 Dreyfus Global Emerging Markets I	 Diversified Emerging Mkts	 +26.30%	 +23.69%	" $1,000"	 1.00%	  	5
DIFAX	 MFS Diversified Income A	 Allocation--30% to 50% Equity	 +4.86%	 +6.08%	" $1,000"	 1.02%	  	5
DIFHX	 MFS Diversified Income R6	 Allocation--30% to 50% Equity	 +5.04%	 +6.45%	 $0	 0.67%	  	5
DIFIX	 MFS Diversified Income I	 Allocation--30% to 50% Equity	 +4.99%	 +6.35%	 $0	 0.77%	  	5
DITFX	 American Funds 2050 Trgt Date Retire F3	 Target-Date 2050	 +10.81%	 +16.62%	 $250	 0.43%	  	5
